best_so_far_auc,dataset,final_best,mode,seed,simple_regret,top10_hit
84.4401,real_buchwald_hartwig,92.2093,gp_ucb,40500,7.7907,0
63.6429,real_buchwald_hartwig,71.0972,llm_direct_prior_aryl_halide_halide_type,40500,28.9028,0
63.6429,real_buchwald_hartwig,71.0972,llm_direct_prior_base_functional_class_effect,40500,28.9028,0
68.3185,real_buchwald_hartwig,93.4211,llm_direct_prior_counter_hypothesis_aryl_halide,40500,6.5789,0
82.47,real_buchwald_hartwig,93.4211,llm_direct_prior_ligand_mw_influence,40500,6.5789,0
59.5792,real_buchwald_hartwig,93.4211,llm_direct_prior_random_rule_r1_aryl_halide_halide_type,40500,6.5789,0
59.7849,real_buchwald_hartwig,92.2093,llm_direct_prior_random_rule_r1_base_functional_class_effect,40500,7.7907,0
68.3185,real_buchwald_hartwig,93.4211,llm_direct_prior_random_rule_r1_counter_hypothesis_aryl_halide,40500,6.5789,0
62.6448,real_buchwald_hartwig,87.2375,llm_direct_prior_random_rule_r1_ligand_mw_influence,40500,12.7625,0
63.6429,real_buchwald_hartwig,71.0972,llm_direct_prior_random_rule_r2_aryl_halide_halide_type,40500,28.9028,0
59.7849,real_buchwald_hartwig,92.2093,llm_direct_prior_random_rule_r2_base_functional_class_effect,40500,7.7907,0
61.7357,real_buchwald_hartwig,93.4211,llm_direct_prior_random_rule_r2_counter_hypothesis_aryl_halide,40500,6.5789,0
82.47,real_buchwald_hartwig,93.4211,llm_direct_prior_random_rule_r2_ligand_mw_influence,40500,6.5789,0
63.1181,real_buchwald_hartwig,94.6911,llm_direct_prior_random_rule_r3_aryl_halide_halide_type,40500,5.3089,0
69.383,real_buchwald_hartwig,76.7953,llm_direct_prior_random_rule_r3_base_functional_class_effect,40500,23.2047,0
68.3185,real_buchwald_hartwig,93.4211,llm_direct_prior_random_rule_r3_counter_hypothesis_aryl_halide,40500,6.5789,0
62.6448,real_buchwald_hartwig,87.2375,llm_direct_prior_random_rule_r3_ligand_mw_influence,40500,12.7625,0
49.3243,real_buchwald_hartwig,52.4942,mixed_kernel_gp_ei,40500,47.5058,0
81.8043,real_buchwald_hartwig,82.6307,gp_ucb,40501,17.3693,0
84.9282,real_buchwald_hartwig,87.9592,llm_direct_prior_aryl_halide_halide_type,40501,12.0408,0
81.8043,real_buchwald_hartwig,82.6307,llm_direct_prior_base_functional_class_effect,40501,17.3693,0
81.9696,real_buchwald_hartwig,82.6307,llm_direct_prior_counter_hypothesis_aryl_halide,40501,17.3693,0
87.812,real_buchwald_hartwig,97.5685,llm_direct_prior_ligand_mw_influence,40501,2.4315,1
82.1349,real_buchwald_hartwig,82.6307,llm_direct_prior_random_rule_r1_aryl_halide_halide_type,40501,17.3693,0
81.334,real_buchwald_hartwig,84.5385,llm_direct_prior_random_rule_r1_base_functional_class_effect,40501,15.4615,0
81.9696,real_buchwald_hartwig,82.6307,llm_direct_prior_random_rule_r1_counter_hypothesis_aryl_halide,40501,17.3693,0
81.9696,real_buchwald_hartwig,82.6307,llm_direct_prior_random_rule_r1_ligand_mw_influence,40501,17.3693,0
84.9282,real_buchwald_hartwig,87.9592,llm_direct_prior_random_rule_r2_aryl_halide_halide_type,40501,12.0408,0
81.334,real_buchwald_hartwig,84.5385,llm_direct_prior_random_rule_r2_base_functional_class_effect,40501,15.4615,0
84.1994,real_buchwald_hartwig,92.127,llm_direct_prior_random_rule_r2_counter_hypothesis_aryl_halide,40501,7.873,0
87.812,real_buchwald_hartwig,97.5685,llm_direct_prior_random_rule_r2_ligand_mw_influence,40501,2.4315,1
83.7181,real_buchwald_hartwig,91.3733,llm_direct_prior_random_rule_r3_aryl_halide_halide_type,40501,8.6267,0
81.1433,real_buchwald_hartwig,82.6307,llm_direct_prior_random_rule_r3_base_functional_class_effect,40501,17.3693,0
81.9696,real_buchwald_hartwig,82.6307,llm_direct_prior_random_rule_r3_counter_hypothesis_aryl_halide,40501,17.3693,0
81.9696,real_buchwald_hartwig,82.6307,llm_direct_prior_random_rule_r3_ligand_mw_influence,40501,17.3693,0
90.1782,real_buchwald_hartwig,95.7526,mixed_kernel_gp_ei,40501,4.2474,0
85.6223,real_buchwald_hartwig,96.1323,gp_ucb,40502,3.8677,0
74.3952,real_buchwald_hartwig,74.3952,llm_direct_prior_aryl_halide_halide_type,40502,25.6048,0
77.5401,real_buchwald_hartwig,80.6849,llm_direct_prior_base_functional_class_effect,40502,19.3151,0
86.3103,real_buchwald_hartwig,90.3173,llm_direct_prior_counter_hypothesis_aryl_halide,40502,9.6827,0
86.616,real_buchwald_hartwig,88.5139,llm_direct_prior_ligand_mw_influence,40502,11.4861,0
75.8633,real_buchwald_hartwig,89.0766,llm_direct_prior_random_rule_r1_aryl_halide_halide_type,40502,10.9234,0
